ID	DOCULECT	CONCEPT	CONCEPTICON_ID	VALUE	SEGMENTS	STRUCTURE	PARTIAL_IDS	ALIGNMENT	PROSTRING
1477	Jianchuan	Buddha	2061	ve⁴²	v e ⁴²	i n t	1109	v e - ⁴²	i n c t
1478	Eryuan	Buddha	2061	we⁴²	w e ⁴²	i n t	1109	w e - ⁴²	i n c t
1479	Heqing	Buddha	2061	we⁴²	w e ⁴²	i n t	1109	w e - ⁴²	i n c t
1480	Lanping	Buddha	2061	ve⁴²	v e ⁴²	i n t	1109	v e - ⁴²	i n c t
1481	Qiliqiao	Buddha	2061	we⁴²	w e ⁴²	i n t	1109	w e - ⁴²	i n c t
1482	Yunlong	Buddha	2061	wɛ⁴²tsʰɛ⁵⁵	w ɛ ⁴² + tsʰ ɛ ⁵⁵	i n t + i n t	1109 1110	w ɛ - ⁴² + tsʰ ɛ ⁵⁵	i n c t + i n t
1483	Xiangyun	Buddha	2061	wẽ⁴²	w ẽ ∼ ⁴²	i n c t	1109	w ẽ ∼ ⁴²	i n c t
1484	Luobenzhuo	Buddha	2061	we⁴²	w e ⁴²	i n t	1109	w e - ⁴²	i n c t
1485	Zhoucheng	Buddha	2061	ve⁴²	v e ⁴²	i n t	1109	v e - ⁴²	i n c t
3673	Jianchuan	CLS for axe	2083	tsʰɤ³¹	tsʰ ɤ ³¹	i n t	1431	tsʰ - ɤ ³¹	i m n t
3674	Eryuan	CLS for axe	2083	tʂʰɤ³¹	tʂʰ ɤ ³¹	i n t	1431	tʂʰ - ɤ ³¹	i m n t
3675	Heqing	CLS for axe	2083	tɕʰuɔ³¹	tɕʰ u ɔ ³¹	i m n t	1431	tɕʰ u ɔ ³¹	i m n t
3676	Lanping	CLS for axe	2083	tsʰɛ⁴²	tsʰ ɛ ⁴²	i n t	1431	tsʰ - ɛ ⁴²	i m n t
3677	Qiliqiao	CLS for axe	2083	tsʰɤ³¹	tsʰ ɤ ³¹	i n t	1431	tsʰ - ɤ ³¹	i m n t
3678	Yunlong	CLS for axe	2083	pa⁴²	p a ⁴²	i n t	400	p a ⁴²	i n t
3679	Xiangyun	CLS for axe	2083	we³¹	w e ³¹	i n t	1558	w e ³¹	i n t
3680	Luobenzhuo	CLS for axe	2083	ʂɛ³³	ʂ ɛ ³³	i n t	1559	ʂ ɛ ³³	i n t
3681	Zhoucheng	CLS for axe	2083	tsʰɤ³¹	tsʰ ɤ ³¹	i n t	1431	tsʰ - ɤ ³¹	i m n t
3646	Jianchuan	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428	p e ²¹	i n t
3647	Eryuan	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428	p e ²¹	i n t
3648	Heqing	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428	p e ²¹	i n t
3649	Lanping	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428	p e ²¹	i n t
3650	Qiliqiao	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428	p e ²¹	i n t
3651	Yunlong	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428	p e ²¹	i n t
3652	Xiangyun	CLS for bowl	2080	kɯ⁴²pe²¹	k ɯ ⁴² + p e ²¹	i n t + i n t	1429 1428	k ɯ ⁴² + p e ²¹	i n t + i n t
3653	Luobenzhuo	CLS for bowl	2080	pʰɔ⁵⁵	pʰ ɔ ⁵⁵	i n t	1428	pʰ ɔ ⁵⁵	i n t
3654	Zhoucheng	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428	p e ²¹	i n t
3655	Jianchuan	CLS for chicken	2081	tɛ²¹	t ɛ ²¹	i n t	76	t - ɛ ²¹	i m n t
3656	Eryuan	CLS for chicken	2081	tɯ²¹	t ɯ ²¹	i n t	76	t - ɯ ²¹	i m n t
3657	Heqing	CLS for chicken	2081	tɯ²¹	t ɯ ²¹	i n t	76	t - ɯ ²¹	i m n t
3658	Lanping	CLS for chicken	2081	tiɯ²¹	t i ɯ ²¹	i m n t	76	t i ɯ ²¹	i m n t
3659	Qiliqiao	CLS for chicken	2081	tɯ²¹	t ɯ ²¹	i n t	76	t - ɯ ²¹	i m n t
3660	Yunlong	CLS for chicken	2081	tɯ²¹	t ɯ ²¹	i n t	76	t - ɯ ²¹	i m n t
3661	Xiangyun	CLS for chicken	2081	we³¹	w e ³¹	i n t	77	w e ³¹	i n t
3662	Luobenzhuo	CLS for chicken	2081	ʈɯ³¹	ʈ ɯ ³¹	i n t	76	ʈ - ɯ ³¹	i m n t
3663	Zhoucheng	CLS for chicken	2081	tɯ²¹	t ɯ ²¹	i n t	76	t - ɯ ²¹	i m n t
3727	Jianchuan	CLS for clothing	2088	kʰõ⁵⁵	kʰ õ ∼ ⁵⁵	i n c t	81	kʰ õ ∼ ⁵⁵	i n c t
3728	Eryuan	CLS for clothing	2088	kʰɔ⁵⁵	kʰ ɔ ⁵⁵	i n t	81	kʰ ɔ - ⁵⁵	i n c t
3729	Heqing	CLS for clothing	2088	kʰɔu⁵⁵	kʰ ɔ u ⁵⁵	i n c t	81	kʰ ɔ u ⁵⁵	i n c t
